;Res Int;TC;TCR
1/11/2020;39164.24;79.89826;120.4281805
1/12/2020;38898.25484;82.63784839;123.788729
1/1/2021;39610.43548;85.84586129;123.548472
1/2/2021;39377.26071;88.72392143;123.1768756
1/3/2021;39710.66129;91.09505806;119.9788618
1/4/2021;40005.41667;92.72967667;117.5453002
1/5/2021;41106.88387;94.09995161;117.8785993
1/6/2021;42420.66333;95.25517333;117.3142578
1/7/2021;42835.17097;96.20941613;114.0839323
1/8/2021;43306.79677;97.19580968;112.2841516
1/9/2021;44928.77333;98.26721667;110.4982512
1/10/2021;42919.70968;99.21570323;106.1665498
1/11/2021;42463.72;100.3256633;104.3666315
1/12/2021;40584.36452;101.8799484;102.2688632
1/1/2022;38963.63548;103.9293548;101.986673
1/2/2022;37252.31429;106.3847643;102.6918416
1/3/2022;38511.49032;109.3679161;101.3062472
1/4/2022;43011.12667;113.1777767;99.81558963
1/5/2022;41619.83871;117.7886613;96.43944341
1/6/2022;40779.70667;122.6549333;95.6073152
1/7/2022;40335.07742;128.3925806;91.69604319
1/8/2022;37116.22258;135.2625226;91.49110492
1/9/2022;37173.99667;143.12683;89.26229328
1/10/2022;38732.15806;151.8687097;88.35202328
1/11/2022;37897.11667;162.1016167;90.09584055
1/12/2022;40650.34516;172.4518677;93.20970756
1/1/2023;43198.67097;182.1186548;95.1392971
1/2/2023;39842.78571;191.9739107;94.76784631
1/3/2023;37952.32258;202.9140387;93.587617
1/4/2023;37169.1;215.77599;93.80937845
1/5/2023;33525;231.1438161;93.04770008
1/6/2023;31931.2;248.3088933;93.95792946
1/7/2023;26140.32258;266.0470452;95.83953124
1/8/2023;25131.35484;321.6182935;104.818911
1/9/2023;27489.9;349.9983333;100.6590291
1/10/2023;25264.6129;350.0204258;89.61700913
1/11/2023;21435.06667;353.46527;83.18538595
1/12/2023;21903;633.7618194;124.8642696
